sku_id,product_name,brand,category,hs_code,ingredients,batch_id,manufacture_date,expiry_date,total_shelf_life_days,qty_on_hand,unit_cost_usd,halal_certified,country_of_origin
SKU001,Vitamin D3 2000IU 120 Capsules (Vegan),NOW Foods,Vitamins,2936.29,"Vitamin D3 Cholecalciferol, Cellulose, Magnesium Stearate",B26-001,2026-04-19,2028-04-18,730,280,7.49,yes,USA
SKU002,Vitamin C 1000mg 100 Tablets,NOW Foods,Vitamins,2936.27,"Ascorbic Acid, Cellulose, Stearic Acid, Magnesium Stearate",B26-002,2026-03-30,2028-03-29,730,180,8.99,yes,USA
SKU003,Magnesium Glycinate 400mg 180 Capsules,Doctors Best,Minerals,2106.9,"Magnesium Glycinate Chelate, Cellulose, Magnesium Stearate",B26-003,2026-03-10,2028-03-09,730,415,18.99,yes,USA
SKU004,Zinc Picolinate 50mg 120 Capsules,NOW Foods,Minerals,2106.9,"Zinc Picolinate, Cellulose, Magnesium Stearate",B26-004,2026-02-18,2028-02-18,730,290,9.49,yes,USA
SKU005,Vitamin B Complex 100 Capsules,Jarrow Formulas,Vitamins,2106.9,"Thiamine HCl, Riboflavin, Niacinamide, Pyridoxine B6, Methylfolate, Methylcobalamin, Biotin, Pantothenic Acid, Cellulose",B26-005,2026-01-29,2028-01-29,730,320,11.99,yes,USA
SKU006,Multivitamin Mens 120 Tablets,Garden of Life,Vitamins,2106.9,"Vitamin A Acetate, Ascorbic Acid, Cholecalciferol, d-Alpha Tocopherol, Thiamine, Riboflavin, Niacinamide, Pyridoxine, Methylfolate, Methylcobalamin, Zinc, Selenium, Organic Spinach",B26-006,2026-01-09,2028-01-09,730,260,28.99,yes,USA
SKU007,Multivitamin Womens 120 Tablets,Garden of Life,Vitamins,2106.9,"Vitamin A, Ascorbic Acid, Cholecalciferol, d-Alpha Tocopherol, Menaquinone K2, Methylfolate, Methylcobalamin, Iron, Calcium Carbonate, Magnesium Oxide, Organic Cranberry Extract",B26-007,2025-12-20,2027-12-20,730,240,29.99,yes,USA
SKU008,Ashwagandha KSM-66 600mg 90 Capsules,Jarrow Formulas,Adaptogen,1302.19,"Ashwagandha Root Extract KSM-66 Withania somnifera, Cellulose, Magnesium Stearate",B26-008,2025-11-30,2027-11-30,730,310,18.49,yes,India
SKU009,Turmeric Curcumin 500mg 60 Capsules,NOW Foods,Herbal,1302.19,"Turmeric Root Extract 95% Curcuminoids, Black Pepper Extract BioPerine, Cellulose",B26-009,2026-04-19,2028-04-18,730,220,9.99,yes,India
SKU010,Creatine Monohydrate 500g,Optimum Nutrition,Sports,2106.9,Creatine Monohydrate,B26-010,2026-03-30,2028-03-29,730,110,24.99,yes,Germany
SKU011,Spirulina 500mg 200 Tablets,NOW Foods,Superfoods,2106.9,"Spirulina Arthrospira platensis, Cellulose, Magnesium Stearate",B26-011,2026-03-10,2028-03-09,730,280,14.99,yes,USA
SKU012,Vitamin B12 Methylcobalamin 1000mcg 100 Tablets,Jarrow Formulas,Vitamins,2936.26,"Methylcobalamin, Mannitol, Cellulose, Magnesium Stearate",B26-012,2026-02-18,2028-02-18,730,350,11.49,yes,USA
SKU013,Quercetin 500mg 60 Capsules,NOW Foods,Antioxidants,2106.9,"Quercetin Dihydrate, Cellulose, Magnesium Stearate",B26-013,2026-01-29,2028-01-29,730,185,14.49,yes,USA
SKU014,Berberine HCl 500mg 60 Capsules,Thorne Research,Metabolic,2106.9,"Berberine HCl, Cellulose, Magnesium Stearate",B26-014,2026-01-09,2028-01-09,730,175,24.99,yes,China
SKU015,Lions Mane Mushroom 500mg 60 Capsules,Host Defense,Cognitive,1302.19,"Lions Mane Mushroom Hericium erinaceus Mycelium and Fruiting Bodies, Cellulose",B26-015,2025-12-20,2027-12-20,730,160,26.99,yes,USA
SKU016,Alpha Lipoic Acid 600mg 60 Capsules,Doctors Best,Antioxidants,2106.9,"Alpha Lipoic Acid, Cellulose, Magnesium Stearate",B26-016,2026-04-19,2028-04-18,730,190,14.99,yes,USA
SKU017,NAC N-Acetyl Cysteine 600mg 100 Capsules,NOW Foods,Antioxidants,2106.9,"N-Acetyl-L-Cysteine, Cellulose, Magnesium Stearate",B26-017,2026-03-30,2028-03-29,730,165,12.49,yes,USA
SKU018,Maca Root 500mg 100 Capsules,NOW Foods,Hormonal,1211.9,"Maca Root Powder Lepidium meyenii, Cellulose, Magnesium Stearate",B26-018,2026-03-10,2028-03-09,730,175,10.99,yes,Peru
SKU019,Rhodiola Rosea 500mg 60 Capsules,NOW Foods,Adaptogen,1302.19,"Rhodiola Rosea Root Extract 3% Rosavins 1% Salidroside, Cellulose",B26-019,2026-02-18,2028-02-18,730,155,14.99,yes,Russia
SKU020,BCAAs 2:1:1 300g Unflavoured,NOW Sports,Sports,2922.41,"L-Leucine, L-Isoleucine, L-Valine",B26-020,2026-01-29,2028-01-29,730,88,19.99,yes,USA
SKU021,L-Glutamine 500g,Jarrow Formulas,Sports,2922.41,L-Glutamine,B26-021,2026-04-19,2028-04-18,730,76,21.49,yes,USA
SKU022,Black Seed Oil 500mg 90 Capsules Vegan,Amazing Herbs,Herbal,1515.9,"Black Cumin Seed Oil Nigella sativa, Cellulose Capsule",B26-022,2026-03-30,2028-03-29,730,200,19.99,yes,Egypt
SKU023,Moringa Leaf Powder 240g Organic,Kiva,Superfoods,1211.9,Organic Moringa Oleifera Leaf Powder,B26-023,2026-03-10,2028-03-09,730,115,17.99,yes,India
SKU024,Pea Protein Isolate Unflavoured 1kg,NOW Sports,Protein,2106.1,Pea Protein Isolate Pisum sativum,B26-024,2026-02-18,2028-02-18,730,54,28.99,yes,Canada
SKU025,Selenium 200mcg 90 Capsules,NOW Foods,Minerals,2106.9,"Selenium Glycinate Complex, Cellulose, Magnesium Stearate",B26-025,2026-01-29,2028-01-29,730,310,8.49,yes,USA
SKU026,Vitamin K2 MK-7 100mcg 60 Capsules,Life Extension,Vitamins,2936.29,"Menaquinone-7 from Natto, Cellulose, Calcium Phosphate",B26-026,2025-11-28,2027-11-28,730,190,14.99,yes,Japan
SKU027,CoQ10 Ubiquinol 100mg 60 Capsules,Jarrow Formulas,Vitamins,2106.9,"Ubiquinol CoQ10, Sunflower Oil, Beeswax, Cellulose",B26-027,2025-12-08,2027-12-08,730,225,21.99,yes,Japan
SKU028,Folate 5-MTHF 800mcg 100 Capsules,Thorne Research,Vitamins,2936.29,"5-Methyltetrahydrofolate Calcium Salt, Cellulose, Magnesium Citrate",B26-028,2025-12-18,2027-12-18,730,195,16.99,yes,USA
SKU029,Vitamin E Mixed Tocopherols 400IU 100 Capsules,NOW Foods,Vitamins,2936.28,"d-Alpha Tocopherol, d-Beta d-Gamma d-Delta Tocopherols, Cellulose, Magnesium Stearate",B26-029,2025-12-28,2027-12-28,730,280,11.99,yes,USA
SKU030,Selenium plus Molybdenum 90 Capsules,NOW Foods,Minerals,2106.9,"Selenium Amino Acid Chelate, Molybdenum Glycinate Chelate, Cellulose, Stearic Acid",B26-030,2026-01-07,2028-01-07,730,145,9.99,yes,USA
